"Nom de l'entreprise","Téléphone","Adresse","Code Postal + Ville","Email","Site Web","Validation des données"
"DO DAUPHINOISE","06 71 64 44 67","42-44 Rue du 11 novembre","38200 VIENNE","m.saino@groupe-dauphinoise.com","www.groupe-dauphinoise.com","DO DAUPHINOISE[""DO DAUPHINOISE""][""42-44 Rue du 11 novembre""][""38200 VIENNE""][""Tél 06 71 64 44 67""][""m.saino@groupe-dauphinoise.com""][""www.groupe-dauphinoise.com""]"
"GROUPE PERRET","04 66 90 59 00","21 Chemin des Limites","30330 TRESQUES","nraux.vindima@groupeperret.fr","www.groupeperret.fr","GROUPE PERRET[""GROUPE PERRET""][""DE""][""21 Chemin des Limites""][""30330 TRESQUES""][""Tél 04 66 90 59 00""][""nraux.vindima@groupeperret.fr""][""Www.groupeperret.fr""]"
"GRTGAZ","04 78 65 58 41","6 rue Raoul Nordling","92270 BOIS COLOMBES","mathieu.thouseau@grtgaz.com","www. grtgaz.com","GRTGAZ[""GRTGAZ""][""x""][""6 rue Raoul Nordling""][""92270 BOIS COLOMBES""][""Tél 04 78 65 58 41""][""mathieu.thouseau@grtgaz.com""][""WWW. grtgaz.com""][""#""]"
"HALDRUP","02 43 89 4495","14 rue des peupliers","72190 SARGÉ-LÈS-LE-MANS","gilles.beaufils@haldrup.net","w.haldrup.net","HALDRUP[""HALDRUP""][""F3""][""14 rue des peupliers""][""72190 SARGÉ-LÈS-LE-MANS""][""Tél 02 43 89 4495""][""gilles.beaufils@haldrup.net""][""w.haldrup.net""]"
"HELIOGREEN","04 0 30","ZA des Ronzières 69530 BRIGNAIS","","lle@heliogreen.fr","o.fr","HELIOGREEN[""HELIOGREEN""][""1 Chemin des vieilles vignes -""][""ZA des Ronzières 69530 BRIGNAIS""][""Tél 04 0 30""][""lle@heliogreen.fr""][""o.fr""]"
"HERBANET SOREAU AGRI","","","66","","2wanadoo.fr","HERBANET SOREAU AGRI[""HERBANET SOREAU AGRI""][""2wanadoo.fr""][""66""]"
"HILD SAMEN GMBH","","Kirchenweinbergstr"," 115 71672","","","HILD SAMEN GMBH[""HILD SAMEN GMBH""][""Kirchenweinbergstr"", "" 115 71672""]"
"MARBACH - ALLEMAGNE","49 7144 8473-11","","","hild@vegetableseeds.basf.com","www.hildsamen.de","MARBACH - ALLEMAGNE[""MARBACH - ALLEMAGNE""][""Tél 49 7144 8473-11""][""hild@vegetableseeds.basf.com""][""www.hildsamen.de""]"
"HORSCH FRANCE","05 46 35 28 28","Terridonis","17220 LA JARRIE","sl@ics-agri.com www.terradonis.com","www.huet-2m.com","HORSCH FRANCE[""HORSCH FRANCE""][""Ferme de la Lucine""][""52120 CHÂTEAUVILLAIN""][""Tél 03 25 02 79 80""][""s.proust@horsch.com""][""www.horsch.com""][""HUET 2M""][""377]""][""12 ZA Pree bertain""][""49730 VARENNES-SUR-LOIRE""][""Tél 02 41 38 94 32""][""huet2m@orange.fr""][""www.huet-2m.com""][""ICS""][""SE""][""Za Croix-Fort"", "" 12 Rue du Soleil""][""17220 LA JARRIE""][""Tél 05 46 35 28 28""][""sl@ics-agri.com www.terradonis.com""][""Terridonis""]"
"IDELE","01.40.04.52.26","149 rue de Bercy 75595 PARIS CEDEX 12","","caroline.evrat-georgel@idele.fr","www.idele.fr","IDELE[""IDELE""][""149 rue de Bercy 75595 PARIS CEDEX 12""][""Tél 01.40.04.52.26""][""caroline.evrat-georgel@idele.fr""][""www.idele.fr""]"
"IDMAT","","Téi 06 14 06 26 49","79240 VERHOUX-EN-GATINE","","wuw.idmat.eu","IDMAT[""IDMAT""][""D5""][""10 La Renoliere des bois""][""79240 VERHOUX-EN-GATINE""][""Téi 06 14 06 26 49""][""t.piou@idmat. fr""][""wuw.idmat.eu""]"
"IN EXTENSO","","de Pouloumard 26209 Mr","TI 06 47 28 61 05 A","aurelien.ville@inextenso.fr","www.inéxtenso.fr","IN EXTENSO[""IN EXTENSO""][""Parc d'Activités - Fort""][""de Pouloumard 26209 Mr""][""TI 06 47 28 61 05 A""][""aurelien.ville@inextenso.fr""][""www.inéxtenso.fr""]"
"INAO","04 75 41 06 37","des Auréats - 17 rue Jacquard","26000 VALENCE","","wwww.ina0.gouv.fr","INAO[""INAO""][""Délégation Territoriale Sud. Est. 4""][""des Auréats - 17 rue Jacquard""][""26000 VALENCE""][""Tél 04 75 41 06 37""][""v.keller@inao. gouv.fr""][""WWWw.ina0.gouv.fr""]"
"INRA","04 32 72 20 00","40509 84914 AVIGNON Cedex 9","228","armelle.favery@inra.fr","www.inra.fr","INRA[""INRA""][""LyAl""][""228"", "" route de l’Aérodrome - Domaine""][""Saint-Paul - Site Agroparc - CS""][""40509 84914 AVIGNON Cedex 9""][""Tél 04 32 72 20 00""][""armelle.favery@inra.fr""][""Www.inra.fr""]"
"INTERBEV BIO","01 44 87 44 60","207 rue de Bercy 75587 PARIS","","k.meunier@interbev.fr","www.interbev.fr","INTERBEV BIO[""INTERBEV BIO""][""D""][""207 rue de Bercy 75587 PARIS""][""Tél 01 44 87 44 60""][""k.meunier@interbev.fr""][""www.interbev.fr""]"
"INTERCÉRÉALES","01 40 67 7895","23-25 Av de Neuilly 75116 PARIS","","bbarrier-guillot@intercereales.com","www.intercereales.com","INTERCÉRÉALES[""INTERCÉRÉALES""][""mr""][""23-25 Av de Neuilly 75116 PARIS""][""Tél 01 40 67 7895""][""bbarrier-guillot@intercereales.com""][""Www.intercereales.com""]"
